status,focus_r,depth,negative_rules,target_rule,negative_moduli,target_moduli,fresh_target_moduli,refinement_ratio,counterexample_residue
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,26787049
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,26787049
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,26787049
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,26787049
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,26787049
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,26787049
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,26787049
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,27027289
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,27027289
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,27027289
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,27027289
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,65826049
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,27027289
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,27027289
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,27267529
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,27267529
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,27267529
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,27267529
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,27267529
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,27267529
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,66066289
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,27387649
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,27387649
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,27387649
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,27387649
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,27387649
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,27387649
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,27387649
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=11,a=15,b=29",29;37;41;43;53;59,5;29,5,5915342773,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
failed,289,1,"d=11,a=1,b=43","d=11,a=3,b=41",43,41,41,1763,27507769
failed,289,1,"d=11,a=1,b=43","d=19,a=2,b=74",43,37,37,1591,27507769
failed,289,1,"d=11,a=1,b=43","d=15,a=1,b=59",43,59,59,2537,27507769
failed,289,1,"d=11,a=1,b=43","d=27,a=2,b=106",43,53,53,2279,27507769
failed,289,1,"d=11,a=1,b=43","d=15,a=2,b=58",43,29,29,1247,27507769
failed,289,1,"d=11,a=1,b=43","d=31,a=2,b=122",43,61,61,2623,27507769
failed,289,1,"d=11,a=1,b=43","d=11,a=15,b=29",43,5;29,5;29,1247,27507769
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=19,a=2,b=74",41;43,37,37,65231,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=1,b=59",41;43,59,59,104017,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=27,a=2,b=106",41;43,53,53,93439,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=15,a=2,b=58",41;43,29,29,51127,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=31,a=2,b=122",41;43,61,61,107543,
unknown_large_ratio,289,2,"d=11,a=1,b=43; d=11,a=3,b=41","d=11,a=15,b=29",41;43,5;29,5;29,51127,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=1,b=59",37;41;43,59,59,3848629,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=27,a=2,b=106",37;41;43,53,53,3457243,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=15,a=2,b=58",37;41;43,29,29,1891699,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=31,a=2,b=122",37;41;43,61,61,3979091,
unknown_large_ratio,289,3,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74","d=11,a=15,b=29",37;41;43,5;29,5;29,1891699,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=27,a=2,b=106",37;41;43;59,53,53,203977337,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=15,a=2,b=58",37;41;43;59,29,29,111610241,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=31,a=2,b=122",37;41;43;59,61,61,234766369,
unknown_large_ratio,289,4,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59","d=11,a=15,b=29",37;41;43;59,5;29,5;29,111610241,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=15,a=2,b=58",37;41;43;53;59,29,29,5915342773,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=31,a=2,b=122",37;41;43;53;59,61,61,12442617557,
unknown_large_ratio,289,5,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106","d=11,a=15,b=29",37;41;43;53;59,5;29,5;29,5915342773,
unknown_large_ratio,289,6,"d=11,a=1,b=43; d=11,a=3,b=41; d=19,a=2,b=74; d=15,a=1,b=59; d=27,a=2,b=106; d=15,a=2,b=58","d=31,a=2,b=122",29;37;41;43;53;59,61,61,360835909153,
